x,y,z
-5.432327907512616,-5.406559110842326,23.45505457996572
-5.5118582862312,-6.0553770360753365,22.55270315795701
-5.754644059801028,-6.842262256341867,21.863216617850398
-6.154728092813952,-7.762172314506825,21.434404523493964
-6.711399905609602,-8.79710053061614,21.322465027982755
-7.407176776600993,-9.904628786873884,21.58587055398575
-8.207816365714436,-11.01923906369768,22.281576004138337
-9.072184335361314,-12.024298681963952,23.435093133362034
-9.937098681896249,-12.721887162925615,25.03400068612861
-10.707469052051037,-12.944811801171854,26.955333060289405
-11.257236455798841,-12.569320070592145,28.954349173468493
-11.474782326122671,-11.528764364901637,30.704311872674815
-11.30938391557948,-10.10540938338449,31.912813951475464
-10.779650984104578,-8.566324462258919,32.4285364063806
-9.985199155230227,-7.025368459767144,32.26203160038943
-9.03046203440035,-5.709060949604234,31.52637086146722
-8.036025811594897,-4.788538392495564,30.370960671376498
-7.115464121190341,-4.269289876744575,28.99670028804435
-6.347113910039993,-4.083177949554063,27.570631381226455
-5.76608623710694,-4.165906325061552,26.164496224426536
-5.386057375429858,-4.458402960016522,24.841683402612013
-5.202645437193376,-4.9154396928624875,23.643701756426246
-5.20573800445452,-5.521834576324204,22.605433221167843
-5.388293044773164,-6.268546097804933,21.764072875135543
-5.73663307273122,-7.157142414004811,21.1646366684061
-6.23842154140685,-8.184340405161224,20.85794018991978
-6.895533948189589,-9.329178488330143,20.91360447897303
-7.693215494563469,-10.535552234466293,21.398803320285634
-8.59331982073121,-11.701667186134813,22.36833557449374
-9.53827274455513,-12.68111257136131,23.844090193567457
-10.439960854458647,-13.251114887873195,25.759834917545565
-11.180639111651193,-13.220599969740547,27.930108597409216
-11.627055477012403,-12.475673985628193,30.03915713515094
-11.677048068463934,-11.095380648700052,31.713165536253808
-11.295639209693398,-9.388707192770436,32.67914525675865
-10.548822215975168,-7.599521523669655,32.84365772389907
-9.557882270219217,-5.9997943270190115,32.291084990975094
-8.465086513603723,-4.812459198752652,31.191964908458328
-7.409705159276578,-4.082294582858798,29.77653522047124
-6.495343310111979,-3.7475206425287717,28.264055532454094
-5.77410808296141,-3.726862509746919,26.744638835306986
-5.267427191726748,-3.944639980274492,25.293918357923445
-4.973471900247829,-4.338913992390515,23.956901341528273
-4.8792544532084205,-4.8866374912499415,22.7663939906631
-4.973753798044408,-5.576660498879247,21.75554152595532
-5.241035869372377,-6.414148739191567,20.96305690907278
-5.672674603283074,-7.404616598781709,20.43657224981716
-6.27376706337816,-8.544122568729463,20.238539030838542
-7.035367867174046,-9.800902640570493,20.441759291761183
-7.931695351470805,-11.112117025055744,21.12672508585636
-8.925375830950133,-12.356959128543666,22.353285629105212
-9.952855959477109,-13.316285617479648,24.146133516805516
-10.9041633516051,-13.762690662670542,26.39231265713486
-11.628354516518746,-13.475422883300741,28.825599445113376
-11.981625491817121,-12.388817223013607,31.04160080165555
-11.862454628218558,-10.70007977091457,32.62609250944574
-11.283085575311642,-8.67397134314363,33.353902962687656
-10.332094473194195,-6.711182959535961,33.193927273966295
-9.168797780335607,-5.120239859684234,32.28323362305911
-7.961610446125059,-4.0407151548241655,30.896699833882785
-6.857562022175959,-3.452769406270046,29.313202319093048
-5.940936436694042,-3.260449159366778,27.66877796924509
-5.252929362625704,-3.3609010571795523,26.067945271227288
-4.798667130784188,-3.6590143939071895,24.56811019227952
-4.56233407721667,-4.119648456871371,23.200013040718066
-4.527639145700613,-4.722469244398114,21.992428287285126
-4.674357716025152,-5.470022305002228,20.9756929283132
-4.996661106569556,-6.372116132595435,20.186981100644186
-5.496846307065349,-7.43566527238095,19.676389674182467
-6.167303466772564,-8.66254751020006,19.514423752421433
-6.995647897935417,-10.034359480990302,19.78265677889988
-7.9777342178066135,-11.473241199424411,20.587915974565867
-9.075585909707698,-12.832475151951053,22.00969943889673
-10.203724988001845,-13.880183282111458,24.047507766926845
-11.236903337640305,-14.329049276619951,26.591173371133674
-12.000714030128684,-13.919320069350121,29.297861092301492
-12.334553237441682,-12.58709732243716,31.72077307726513
-12.131196716733951,-10.524913485318818,33.378268133129964
-11.404341906806955,-8.219499287833294,34.01835092033507
-10.280666553408887,-6.11313016093605,33.665187773892576
-8.963056090694277,-4.4654346594122245,32.53759227878385
-7.6407665430793905,-3.405850708955748,30.961344361428665
-6.461156477259448,-2.8776373594915774,29.19668040388659
-5.506473872229897,-2.734091198615367,27.429262428011253
-4.8006633180530685,-2.8686218279801943,25.73127128716632
